quarter,avg_miles_rollingsum_12m,perc_north_central,perc_north_east,perc_south_atlantic,perc_west,perc_urban
20041,56808.64052,0.230447891,0.15195723,0.208491022,0.216503703,0.479878326
20042,57194.8366,0.23005996,0.151898281,0.208810727,0.216589664,0.484130612
20043,57352.81046,0.229690096,0.151931059,0.209087998,0.216434681,0.487782194
20044,57514.00654,0.229494765,0.151933209,0.208945181,0.216793681,0.489881237
20051,57785.45752,0.229523338,0.151581323,0.209616369,0.216636703,0.49223084
20052,58069.00654,0.229039306,0.151026646,0.210423186,0.216933808,0.495704119
20053,58223.26144,0.228111779,0.150709703,0.211026655,0.217750379,0.497391885
20054,58184.7451,0.226875494,0.150395753,0.211089626,0.218339578,0.498881408
20061,58429.56209,0.226119422,0.150639343,0.211298717,0.21855185,0.50148791
20062,58520.00654,0.225131989,0.150788831,0.212037981,0.218370769,0.503952338
20063,58507.81046,0.224153861,0.150777367,0.212770877,0.218298993,0.506713533
20064,58536.05882,0.223378316,0.151385823,0.213249484,0.218586733,0.508799336
20071,58363.60131,0.2231735,0.151173548,0.214446151,0.217008407,0.509878964
20072,58865.18301,0.223195397,0.150805546,0.213606521,0.218059701,0.50928759
20073,58968.52288,0.223169468,0.151317242,0.212981358,0.217715023,0.508585172
20074,58965.96732,0.223078494,0.150561646,0.213593019,0.217816126,0.51033503
20081,58815.37908,0.222731083,0.150400283,0.213350561,0.21778173,0.511121597
20082,58502.11111,0.222558864,0.150826242,0.212961087,0.217578428,0.511923764
20083,57979.7451,0.222965176,0.151141919,0.212404016,0.217090801,0.512921292
20084,57492.60784,0.223182429,0.151360067,0.211726907,0.216948038,0.513837698
20091,57369.05882,0.223184003,0.1509913,0.211420244,0.217277971,0.514566847
20092,57583.97386,0.223750299,0.150685875,0.210963063,0.21755009,0.515003834
20093,58055.91503,0.223954932,0.149899663,0.210854197,0.218135097,0.51514491
20094,58356.11111,0.224249243,0.149387494,0.211146012,0.218423954,0.515712688
20101,58306.60784,0.225103916,0.149237001,0.212011643,0.218177942,0.515350506
20102,58399.96078,0.225746973,0.148768007,0.213571076,0.21742684,0.514455982
20103,58522.30719,0.226425586,0.14844482,0.215309106,0.216806887,0.513641578
20104,58747.84314,0.227017429,0.148008771,0.216849235,0.216009933,0.512648052
20111,58679.36601,0.227220756,0.147182267,0.216470967,0.216149735,0.51308078
20112,58324.60131,0.227138875,0.146670471,0.215745573,0.216393513,0.514341755
20113,57857.10458,0.227393566,0.1462117,0.214295147,0.21692502,0.515797937
20114,57463.89542,0.227654625,0.145896668,0.212458496,0.217691222,0.517067722
20121,57652.04575,0.227851491,0.146286325,0.21172987,0.217285285,0.517030556
20122,57843.26144,0.227883127,0.146193697,0.210820903,0.217277387,0.516691094
20123,57969.70588,0.227200594,0.145989707,0.210337944,0.217446909,0.516553665
20124,57999.38562,0.226710087,0.145480806,0.21008584,0.217615783,0.516396951
20131,57876.9085,0.226489009,0.144926121,0.209983843,0.217954331,0.516419736
20132,57857.41176,0.225907753,0.144605783,0.209981966,0.218578376,0.516654534
20133,57981.60131,0.225895864,0.14427599,0.210046572,0.218381197,0.516342969
20134,58144.04575,0.225698988,0.144007687,0.210357441,0.21856941,0.516517857
20141,58207.47712,0.22508316,0.143613268,0.210136514,0.219999699,0.518903867
20142,58536.22222,0.225152919,0.143766856,0.209835438,0.220513928,0.521452668
20143,58964.41176,0.22549893,0.144151978,0.209770821,0.220669386,0.523872326
20144,59415.21569,0.225647729,0.144143663,0.209474741,0.221214433,0.526100794
20151,59895.96732,0.2261313,0.143417514,0.21006488,0.221430993,0.526954306
20152,60329.16993,0.226072474,0.142730681,0.210922474,0.222009687,0.527914124
20153,60787.17647,0.225679479,0.142073631,0.211810992,0.222268994,0.528959174
20154,61179.84314,0.225370802,0.141569546,0.212487538,0.222812717,0.530109131
20161,61530.63399,0.224778624,0.141662472,0.212802338,0.222158536,0.530810361
20162,61803.5098,0.224239227,0.141357858,0.21323376,0.221505177,0.531403604
20163,61927.47712,0.223471499,0.140847443,0.213811032,0.221605939,0.532055945
20164,62130.96732,0.222878764,0.1402031,0.214357128,0.22155571,0.532683438
20171,62351.87582,0.222936828,0.138973968,0.215535339,0.221639636,0.533269174
20172,62529.26797,0.222915219,0.137990283,0.216171293,0.221876124,0.533418599
20173,62797.75163,0.223096014,0.137509502,0.216460749,0.221343214,0.533544143
20174,62975.94118,0.223058417,0.13727807,0.216855716,0.221065229,0.533589391
20181,63002.15033,0.222512895,0.13718071,0.216446083,0.222393799,0.533481739
20182,62999.0915,0.222083813,0.137381689,0.21630647,0.222400863,0.533278465
20183,63043.13072,0.221896535,0.137231187,0.216209071,0.222560984,0.533170205
20184,63125.64706,0.221600369,0.137094977,0.21633087,0.223137711,0.533168624
